H,C,N,O,P,Ca,energy
0.3123411235215714,0.10078663859922296,0.09703863917103905,0.08894794765512612,0.06972915061952413,0.06898808417230554,5105
0.3124533870917284,0.10084800763800401,0.09710308447437399,0.08901886223343036,0.06977354505273714,0.06903737380843018,5110
0.31256538417247853,0.10090927961595397,0.09716743690638142,0.08908968706172198,0.06981790418317173,0.0690866256284257,5115
0.3126771154956479,0.10097045474094071,0.09723169661857493,0.08916042224565829,0.06986222809863978,0.06913583963737792,5120
0.31278858179103936,0.10103153322044787,0.09729586376228036,0.08923106789090797,0.0699065168867328,0.06918501584043113,5125
0.3128997837864367,0.10109251526157438,0.0973599384886351,0.08930162410314922,0.06995077063482236,0.0692341542427872,5130
0.31301072220761145,0.1011534010710353,0.09742392094858826,0.08937209098806985,0.06999498943006066,0.06928325484970624,5135
0.3131213977783265,0.10121419085516116,0.09748781129289935,0.08944246865136471,0.07003917335938123,0.06933231766650545,5140
0.31323181122034177,0.10127488481989842,0.0975516096721386,0.08951275719873532,0.07008332250949897,0.06938134269855936,5145
0.3133419632534206,0.10133548317080988,0.09761531623668697,0.08958295673588933,0.07012743696691172,0.06943032995129977,5150
0.31345185459533303,0.10139598611307411,0.09767893113673458,0.08965306736853818,0.0701715168178998,0.06947927943021502,5155
0.3135614859618623,0.10145639385148618,0.0977424545222816,0.0897230892023972,0.07021556214852727,0.06952819114085013,5160
0.3136708580668098,0.10151670659045758,0.09780588654313727,0.08979302234318373,0.07025957304464217,0.06957706508880646,5165
0.3137799716220001,0.10157692453401648,0.09786922734891987,0.08986286689661681,0.07030354959187725,0.0696259012797415,5170
0.3138888273372861,0.10163704788580763,0.09793247708905611,0.08993262296841555,0.07034749187565048,0.06967469971936877,5175
0.31399742592055424,0.10169707684909264,0.09799563591278108,0.09000229066429807,0.07039139998116545,0.06972346041345702,5180
0.3141057680777297,0.10175701162675022,0.09805870396913766,0.0900718700899809,0.07043527399341223,0.06977218336783092,5185
0.31421385451278205,0.10181685242127651,0.09812168140697682,0.09014136135117803,0.07047911399716797,0.06982086858837033,5190
